relevant score,labels
0,least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
1,second_least_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
3,most_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
0,least_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
3,most_relevant
0,least_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
0,least_relevant
3,most_relevant
1,second_least_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
0,least_relevant
0,least_relevant
2,second_most_relevant
0,least_relevant
2,second_most_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
0,least_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
0,least_relevant
2,second_most_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
1,second_least_relevant
1,second_least_relevant
3,most_relevant
2,second_most_relevant
2,second_most_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
3,most_relevant
0,least_relevant
0,least_relevant
1,second_least_relevant
2,second_most_relevant
1,second_least_relevant
3,most_relevant
1,second_least_relevant
0,least_relevant
1,second_least_relevant
1,second_least_relevant
2,second_most_relevant
2,second_most_relevant
3,most_relevant
